data,chuva_mm,vazao,temp_media,temp_max,temp_min,umidade_media,vento_medio,chuva_3d,chuva_7d,chuva_14d,chuva_30d,api_7d,api_30d,vazao_lag1,vazao_lag2,chuva_lag1,chuva_lag2,target
1997-01-03,58.1,17.97,19.3,20.1,18.2,94.3,1.2,79.0,79.0,79.0,79.0,17.764999999999997,18.81,12.52,11.25,20.9,0.0,28.85
1997-01-04,20.4,28.85,20.0,21.3,18.7,93.3,0.7,99.4,99.4,99.4,99.4,64.48525,69.219,17.97,12.52,58.1,20.9,33.67
1997-01-05,10.2,33.67,21.1,25.0,19.2,92.3,0.7,88.69999999999999,109.6,109.6,109.6,72.1524625,80.65710000000001,28.85,17.97,20.4,58.1,32.81
1997-01-06,5.2,32.81,21.5,25.4,19.2,92.0,1.0,35.8,114.8,114.8,114.8,69.99959312499999,81.77139000000001,33.67,28.85,10.2,20.4,30.41
1997-01-07,0.0,30.41,23.7,29.7,19.6,81.3,1.5,15.399999999999999,114.8,114.8,114.8,63.91965415624999,78.27425099999999,32.81,33.67,5.2,10.2,26.16
1997-01-08,0.0,26.16,24.5,29.3,20.3,81.3,2.2,5.2,114.8,114.8,114.8,54.33170603281249,70.44682590000001,30.41,32.81,0.0,5.2,21.91
1997-01-09,0.0,21.91,23.4,28.7,20.2,86.5,1.5,0.0,93.9,114.8,114.8,46.181950127890616,63.40214331,26.16,30.41,0.0,0.0,18.45
1997-01-10,0.0,18.45,24.8,30.7,19.2,80.5,1.2,0.0,35.8,114.8,114.8,33.55960563539062,57.06192897900001,21.91,26.16,0.0,0.0,15.6
1997-01-11,0.0,15.6,25.2,30.1,20.6,79.0,1.6,0.0,15.399999999999999,114.8,114.8,12.693965285312498,51.355736081100005,18.45,21.91,0.0,0.0,13.49
1997-01-12,0.0,13.49,24.4,31.5,20.8,79.8,1.4,0.0,5.2,114.8,114.8,5.231063781718749,46.22016247299001,15.6,18.45,0.0,0.0,11.71
1997-01-13,4.9,11.71,22.9,28.9,19.4,86.8,1.0,4.9,4.9,119.7,119.7,1.6670008590624996,41.59814622569101,13.49,15.6,0.0,0.0,10.99
1997-01-14,0.0,10.99,22.3,26.2,19.4,86.0,1.0,4.9,4.9,119.7,119.7,4.165,41.84833160312191,11.71,13.49,4.9,0.0,11.39
1997-01-15,0.0,11.39,25.8,31.7,19.4,80.0,1.5,4.9,4.9,119.7,119.7,3.54025,37.66349844280972,10.99,11.71,0.0,4.9,9.64
1997-01-16,0.0,9.64,24.4,28.3,21.2,86.5,1.2,0.0,4.9,98.80000000000001,119.7,3.0092125,33.89714859852875,11.39,10.99,0.0,0.0,8.95
1997-01-17,9.5,8.95,22.8,28.7,19.7,81.3,1.6,9.5,14.4,50.2,129.2,2.557830625,30.507433738675875,9.64,11.39,0.0,0.0,10.53
1997-01-18,0.0,10.53,22.4,26.4,18.6,87.0,1.2,9.5,14.4,29.8,129.2,10.24915603125,36.006690364808286,8.95,9.64,9.5,0.0,9.67
1997-01-19,10.2,9.67,23.4,28.5,20.7,85.3,1.1,19.7,24.6,29.8,139.4,8.7117826265625,32.406021328327455,10.53,8.95,0.0,9.5,10.07
1997-01-20,0.0,10.07,23.3,29.3,20.0,83.8,1.1,10.2,19.700000000000003,24.6,139.4,16.075015232578124,38.34541919549471,9.67,10.53,10.2,0.0,10.72
1997-01-21,10.2,10.72,23.5,28.1,20.0,82.5,1.4,20.4,29.9,34.8,149.6,12.328559374999998,34.51087727594524,10.07,9.67,0.0,10.2,9.5
1997-01-22,0.0,9.5,25.3,30.3,20.1,84.5,1.5,10.2,29.9,34.8,149.6,19.149275468749998,40.23978954835073,10.72,10.07,10.2,0.0,8.04
1997-01-23,0.0,8.04,25.0,29.7,20.9,79.0,1.1,10.2,29.9,34.8,149.6,16.276884148437496,36.21581059351565,9.5,10.72,0.0,10.2,6.59
1997-01-24,0.0,6.59,24.9,30.4,20.6,76.0,2.0,0.0,20.4,34.8,149.6,13.835351526171873,32.594229534164086,8.04,9.5,0.0,0.0,5.52
1997-01-25,0.0,5.52,24.8,29.5,20.4,76.8,2.3,0.0,20.4,34.8,149.6,9.171388809374998,29.334806580747678,6.59,8.04,0.0,0.0,5.59
1997-01-26,0.0,5.59,23.5,27.6,21.2,82.3,2.3,0.0,10.2,34.8,149.6,7.795680487968748,26.40132592267291,5.52,6.59,0.0,0.0,4.81
1997-01-27,0.0,4.81,23.1,27.9,20.4,80.8,2.8,0.0,10.2,29.9,149.6,3.846925059374999,23.761193330405614,5.59,5.52,0.0,0.0,4.53
1997-01-28,0.0,4.53,22.6,26.5,19.9,74.5,2.9,0.0,0.0,29.9,149.6,3.269886300468749,21.385073997365055,4.81,5.59,0.0,0.0,3.7
1997-01-29,0.0,3.7,23.7,28.0,20.0,78.0,2.0,0.0,0.0,29.9,149.6,0.0,19.246566597628554,4.53,4.81,0.0,0.0,3.59
1997-01-30,0.0,3.59,24.0,28.5,20.4,78.5,2.2,0.0,0.0,29.9,149.6,0.0,17.321909937865698,3.7,4.53,0.0,0.0,4.64
1997-01-31,0.0,4.64,21.5,26.4,18.6,87.0,1.1,0.0,0.0,20.4,149.6,0.0,15.589718944079127,3.59,3.7,0.0,0.0,4.43
1997-02-01,0.0,4.43,21.8,27.4,18.4,80.5,1.3,0.0,0.0,20.4,128.7,0.0,14.030747049671216,4.64,3.59,0.0,0.0,4.19
1997-02-02,0.0,4.19,21.8,25.8,18.8,88.3,1.7,0.0,0.0,10.2,70.6,0.0,11.83029465754728,4.43,4.64,0.0,0.0,4.62
1997-02-03,0.0,4.62,24.3,29.1,19.2,80.0,1.9,0.0,0.0,10.2,50.2,0.0,8.430631525581493,4.19,4.43,0.0,0.0,3.84
1997-02-04,0.0,3.84,23.8,28.3,20.2,78.0,2.0,0.0,0.0,0.0,40.0,0.0,6.809266707090374,4.62,4.19,0.0,0.0,3.03
