data,chuva_mm,vazao,temp_media,temp_max,temp_min,umidade_media,chuva_3d,chuva_7d,chuva_14d,chuva_30d,chuva_60d,chuva_90d,api_7d,api_30d,chuva_ontem,chuva_anteontem,chuva_3d_atras,chuva_4d_atras,sin_doy,cos_doy,vpd,target
1997-01-05,10.2,33.67,21.1,25.0,19.2,92.3,88.7,109.6,109.6,109.6,109.6,109.6,72.15,80.66,20.4,58.1,20.9,0.0,0.09,1.0,0.19,32.81
1997-01-06,5.2,32.81,21.5,25.4,19.2,92.0,35.8,114.8,114.8,114.8,114.8,114.8,70.0,81.77,10.2,20.4,58.1,20.9,0.1,0.99,0.21,30.41
1997-01-07,0.0,30.41,23.7,29.7,19.6,81.3,15.4,114.8,114.8,114.8,114.8,114.8,63.92,78.27,5.2,10.2,20.4,58.1,0.12,0.99,0.55,26.16
1997-01-08,0.0,26.16,24.5,29.3,20.3,81.3,5.2,114.8,114.8,114.8,114.8,114.8,54.33,70.45,0.0,5.2,10.2,20.4,0.14,0.99,0.57,21.91
1997-01-09,0.0,21.91,23.4,28.7,20.2,86.5,0.0,93.9,114.8,114.8,114.8,114.8,46.18,63.4,0.0,0.0,5.2,10.2,0.15,0.99,0.39,18.45
1997-01-10,0.0,18.45,24.8,30.7,19.2,80.5,0.0,35.8,114.8,114.8,114.8,114.8,39.25,57.06,0.0,0.0,0.0,5.2,0.17,0.99,0.61,15.6
1997-01-11,0.0,15.6,25.2,30.1,20.6,79.0,0.0,15.4,114.8,114.8,114.8,114.8,33.37,51.36,0.0,0.0,0.0,0.0,0.19,0.98,0.67,13.49
1997-01-12,0.0,13.49,24.4,31.5,20.8,79.8,0.0,5.2,114.8,114.8,114.8,114.8,28.36,46.22,0.0,0.0,0.0,0.0,0.2,0.98,0.62,11.71
1997-01-13,4.9,11.71,22.9,28.9,19.4,86.8,4.9,4.9,119.7,119.7,119.7,119.7,24.11,41.6,0.0,0.0,0.0,0.0,0.22,0.98,0.37,10.99
1997-01-14,0.0,10.99,22.3,26.2,19.4,86.0,4.9,4.9,119.7,119.7,119.7,119.7,24.66,41.85,4.9,0.0,0.0,0.0,0.24,0.97,0.38,11.39
1997-01-15,0.0,11.39,25.8,31.7,19.4,80.0,4.9,4.9,119.7,119.7,119.7,119.7,20.96,37.66,0.0,4.9,0.0,0.0,0.26,0.97,0.66,9.64
1997-01-16,0.0,9.64,24.4,28.3,21.2,86.5,0.0,4.9,98.8,119.7,119.7,119.7,17.81,33.9,0.0,0.0,4.9,0.0,0.27,0.96,0.41,8.95
