Agência Nacional de Águas - ANA
Superintendência de Gestão da Rede Hidrometeorológica-SGH
Sistema de Informações Hidrológicas - Versão WEB
Fone: (61) 2109-5242
E-mail: hidro@ana.gov.br

NivelConsistencia: 1 = Bruto, 2 = Consistido
TipoMedicaoChuvas: 1 = Pluviômetro, 2 = Pluviógrafo, 3 = Data logger
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Acumulado

Restrições da consulta:
Código da Estação:1943006


EstacaoCodigo;NivelConsistencia;Data;TipoMedicaoChuvas;Maxima;Total;DiaMaxima;NumDiasDeChuva;MaximaStatus;TotalStatus;NumDiasDeChuvaStatus;TotalAnual;TotalAnualStatus;Chuva01;Chuva02;Chuva03;Chuva04;Chuva05;Chuva06;Chuva07;Chuva08;Chuva09;Chuva10;Chuva11;Chuva12;Chuva13;Chuva14;Chuva15;Chuva16;Chuva17;Chuva18;Chuva19;Chuva20;Chuva21;Chuva22;Chuva23;Chuva24;Chuva25;Chuva26;Chuva27;Chuva28;Chuva29;Chuva30;Chuva31;Chuva01Status;Chuva02Status;Chuva03Status;Chuva04Status;Chuva05Status;Chuva06Status;Chuva07Status;Chuva08Status;Chuva09Status;Chuva10Status;Chuva11Status;Chuva12Status;Chuva13Status;Chuva14Status;Chuva15Status;Chuva16Status;Chuva17Status;Chuva18Status;Chuva19Status;Chuva20Status;Chuva21Status;Chuva22Status;Chuva23Status;Chuva24Status;Chuva25Status;Chuva26Status;Chuva27Status;Chuva28Status;Chuva29Status;Chuva30Status;Chuva31Status
1943006;1;01/04/2026;1;"14,1";"51,5";1;5;1;1;1;;0;"14,1";"0,0";"8,4";"0,0";"0,0";"0,0";"0,0";"0,0";"12,1";"0,0";"10,5";"0,0";"0,0";"6,4";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
1943006;1;01/03/2026;1;"47,9";"285,6";12;18;1;1;1;;0;"0,0";"0,0";"0,0";"0,0";"2,6";"4,3";"13,1";"2,3";"2,8";"43,6";"8,2";"47,9";"37,5";"32,8";"6,6";"0,0";"0,0";"0,0";"0,0";"19,3";"43,1";"5,5";"4,9";"6,9";"1,3";"0,0";"0,0";"0,0";"2,9";"0,0";"0,0";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1943006;1;01/02/2026;1;"46,3";"303,4";25;21;1;1;1;;0;"5,5";"3,1";"28,9";"24,6";"29,8";"1,2";"1,6";"17,2";"24,7";"18,0";"1,3";"4,8";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,8";"0,0";"5,6";"2,2";"4,6";"45,8";"46,3";"7,1";"28,3";"2,0";;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0
1943006;1;01/01/2026;1;"73,4";"303,4";23;16;1;1;1;;0;"0,0";"1,0";"0,0";"48,8";"40,6";"4,8";"5,6";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"25,8";"0,3";"0,0";"0,0";"0,0";"2,8";"5,3";"29,1";"36,4";"73,4";"6,6";"0,3";"0,0";"0,0";"0,0";"0,0";"4,4";"18,2";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1943006;1;01/12/2025;1;"58,9";"312,0";18;17;1;1;1;;0;"0,0";"29,8";"23,7";"3,2";"25,9";"0,0";"0,0";"8,2";"2,5";"28,8";"7,9";"0,0";"12,3";"0,0";"46,9";"30,7";"1,3";"58,9";"1,1";"6,8";"22,9";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"1,1";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1943006;1;01/11/2025;1;"62,4";"158,2";17;12;1;1;1;;0;"0,4";"0,0";"27,8";"0,4";"0,0";"0,0";"0,0";"23,7";"17,6";"4,7";"0,0";"0,0";"0,0";"0,0";"2,6";"0,2";"62,4";"4,3";"0,0";"0,0";"0,0";"0,0";"0,0";"9,9";"4,2";"0,0";"0,0";"0,0";"0,0";"0,0";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
1943006;1;01/10/2025;1;"79,5";"109,5";31;6;1;1;1;;0;"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"2,6";"2,9";"9,8";"0,0";"0,0";"0,0";"0,0";"1,8";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"12,9";"79,5";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1943006;1;01/09/2025;1;"2,1";"3,4";22;2;1;1;1;;0;"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"2,1";"1,3";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
1943006;1;01/08/2025;1;"10,9";"13,0";30;2;1;1;1;;0;"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"10,9";"2,1";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1943006;1;01/07/2025;1;"8,9";"8,9";26;1;1;1;1;;0;"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"8,9";"0,0";"0,0";"0,0";"0,0";"0,0";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
